423235.3479432315,6769328.927618066
423237.0246143714,6769333.850414926
423237.98299045017,6769333.44321696
423237.98299045017,6769333.44321696
423236.33059758425,6769328.591702421
423237.3132519369,6769328.255786777
423237.3132519369,6769328.255786777
423238.94136652886,6769333.036018994
423239.8997426076,6769332.628821027
423239.8997426076,6769332.628821027
423238.29590628966,6769327.919871131
423239.2644328251,6769327.588785012
423239.3017562819,6769327.652059134
423239.3017562819,6769327.652059134
423240.85811868636,6769332.221623061
nan,nan
423241.7689290208,6769331.834634984
